"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U01100TR2011PTC008327","21-07-2011","GOMATI AGRI PRODUCER PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,000,000.00","1,000,000.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","Vill : Bagma, P .O. : Bagma Udaipur Tripura INDIA 799119","Indian Non-Government Company"
"U01111TR2003PLC007175","31-07-2003","PURVANCHAL AGROFARM LIMITED","STRIKE OFF","Public","Company Limited by Shares","2,000,000.00","500,000.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","AGARTALA TRIPURA Tripura INDIA 799003","Indian Non-Government Company"
"U01116TR1976SGC001656","26-03-1976","TRIPURA FOREST DEVELOPMENT AND PLANTATION CORPORATION LIMITED","ACTIVE","Public","Company Limited by Shares","100,000,000.00","91,994,000.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","P.O. ABHOY NAGAR, KUNJABAN WEST TRIPURA AGARTALA Tripura INDIA 799005","State Government Company"
"U01116TR1980PTC001847","10-11-1980","CHOWDHURY & SONS CO PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,050,000.00","118,500.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","RAJNAGARUDAIPUR SOUTH TRIPURA TRIPURA Tripura INDIA","Indian Non-Government Company"
"U01116TR1991PTC003588","20-08-1991","FATICKCHERRA RUBBER ESTATES PVT LTD","STRIKE OFF","Private","Company Limited by Shares","5,000,000.00","20,000.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","MILLAN CHAKRA P O ARUNDHUTINAGAR AGARTALA WEST TRIPURA TRIPURA Tripura INDIA 799003","Indian Non-Government Company"
"U01116TR2008PTC008254","18-12-2008","TRIPURA LATEX PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","30,000,000.00","6,667,440.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","QUARTER NO. A1 RUBBER BOARD COMPLEX CHANDMARI P.O. KUNJABAN AGARTALA Tripura INDIA 799006","Indian Non-Government Company"
"U01116TR2013PTC008388","3-05-2013","POHAR ENTERPRISES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","200,000.00","200,000.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","KRISHNANAGAR, NEAR ADVISOR CHOWMUHANI OLD KALIBARI ROAD AGARTALA Tripura INDIA 799001","Indian Non-Government Company"
"U01119TR1977PLC001724","11-10-1977","TRIPURA HILL DEVELOPMENT CO LTD","ACTIVE","Public","Company Limited by Shares","700,000.00","503,535.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","29 OLD KALIBARI ROAD , TRIPURA , Tripura INDIA 799001","Indian Non-Government Company"
"U01122TR1987SGC002673","7-04-1987","TRIPURA HORTICULTURE CORPORATION LIMITED","DORMANT","Public","Company Limited by Shares","50,000,000.00","33,860,000.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","PALACE COMPOUND P.O. AGARTALA AGARTALA Tripura INDIA 799001","State Government Company"
"U01132TR1919PLC001117","20-03-1919","KRISHNAPUR TEA CO LTD","ACTIVE","Public","Company Limited by Shares","600,000.00","534,700.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","Simna Sidhai West Tripura Agartala Tripura INDIA 799212","Indian Non-Government Company"
"U01132TR1980SGC001831","11-08-1980","TRIPURA TEA DEVELOPMENT CORPORATION LIMITED","ACTIVE","Private","Company Limited by Shares","400,000,000.00","348,690,000.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","TRIPURA TEA DEVELOPMENT CORPORATION LAKE CHOWMUHANI AGARTALA Tripura INDIA 799001","State Government Company"
"U01132TR1984PTC002200","27-07-1984","UNOKOTI PLANTATIONS AND DEVELOPMENT CO.PVT.LTD.","STRIKE OFF","Private","Company Limited by Shares","300,000.00","100,000.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","HARIGANGA ROAD,AGARTALADISTT.WEST TRIPURA Tripura INDIA","Indian Non-Government Company"
"U01132TR1995PLC007062","28-12-1995","FORTUNA AGRO PLANTATIONS LIMITED","ACTIVE","Public","Company Limited by Shares","55,100,000.00","55,063,340.00","Tripura","RoC-Shillong","Agriculture and Allied Activities","P.O. - SADHANASHRAM KAILASHAHAR Tripura INDIA 799277","Indian Non-Government Company"
