"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L01111UP1985PLC010776","9-09-1985","AMRIT AGRO INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","70,000,000.00","30,000,000.00","Uttar Pradesh","RoC-Kanpur","Agriculture and Allied Activities","CM-28 (FIRST FLOOR), GAGAN ENCLAVE AMRIT NAGAR, G T ROAD GHAZIABAD Uttar Pradesh INDIA 201009","Indian Non-Government Company"
"L01112UP1989PLC011004","2-08-1989","SHRI GANG INDUSTRIES AND ALLIED PRODUCTS LIMITED","ACTIVE","Public","Company Limited by Shares","85,000,000.00","79,300,000.00","Uttar Pradesh","RoC-Kanpur","Agriculture and Allied Activities","A-26 UPSIDC INDUSTRIAL ARESIKANDRABAD BULANDSHAHAR UTTAR PRADESH Uttar Pradesh INDIA","Indian Non-Government Company"
"L01115UP1991PLC020260","16-01-1991","VENUS SUGAR LIMITED","ACTIVE","Public","Company Limited by Shares","650,000,000.00","412,000,000.00","Uttar Pradesh","RoC-Kanpur","Agriculture and Allied Activities","SHIV SHAKTI NAGAR TEH CHANDAUSI MORADABAD UTTAR PRADESH Uttar Pradesh INDIA 202412","Indian Non-Government Company"
"L01131UP1980PLC004984","10-04-1980","BANARAS BEADS LIMITED","ACTIVE","Public","Company Limited by Shares","120,000,000.00","66,134,720.00","Uttar Pradesh","RoC-Kanpur","Agriculture and Allied Activities","A-1INDUSTRAL ESTATE VARANASI UTTAR PRADESH Uttar Pradesh INDIA 221106","Indian Non-Government Company"
"L01300UP1992PLC014829","21-10-1992","SAHAS AGRO LIMITED","DORMANT","Public","Company Limited by Shares","2,000,000.00","670,000.00","Uttar Pradesh","RoC-Kanpur","Agriculture and Allied Activities","MEERUT ROAD MAWANA MEERUT UTTAR PRADESH Uttar Pradesh INDIA 250401","Indian Non-Government Company"
"L01403UP1992PLC014751","22-09-1992","BALAJI STEEL TUBES AND PIPES LIMITED","ACTIVE","Public","Company Limited by Shares","67,500,000.00","51,938,100.00","Uttar Pradesh","RoC-Kanpur","Agriculture and Allied Activities","84/20, J.K. IRON MILL COMPOUND FAZALGUNJ KANPUR Uttar Pradesh INDIA 208012","Indian Non-Government Company"
"L01406UP1969PLC003268","21-08-1969","J K SATOH AGRICULTURAL MACHINES LIMITED","ACTIVE","Public","Company Limited by Shares","25,000,000.00","16,399,630.00","Uttar Pradesh","RoC-Kanpur","Agriculture and Allied Activities","FLAT NO.514,KALPANA PLAZA, 24/147A,BIRHANA ROAD, KANPUR Uttar Pradesh INDIA 208001","Indian Non-Government Company"
"L02001UP1998PLC023984","21-01-1998","SPARK UNIGLOBE LIMITED","AMALGAMATED","Public","Company Limited by Shares","10,000,000.00","540,980.00","Uttar Pradesh","RoC-Kanpur","Agriculture and Allied Activities","603, CITY CENTRE, 63/2, THEMALL, KANPUR Uttar Pradesh INDIA","Indian Non-Government Company"
"L02412UP1982PLC005605","23-03-1982","HEMKUNT TIMBERS LIMITED","ACTIVE","Public","Company Limited by Shares","15,000,000.00","9,862,500.00","Uttar Pradesh","RoC-Kanpur",NA,"C-11 SITE-1 PANKI INDUSTRIALAREA KANPUR UTTAR PRADESH Uttar Pradesh INDIA 208022","Indian Non-Government Company"
"L11101UP1993PLC015265","2-04-1993","BASIL CHEMICALS AND ADDITIVES LIMITED","ACTIVE","Public","Company Limited by Shares","115,000,000.00","60,238,000.00","Uttar Pradesh","RoC-Kanpur","Mining & Quarrying","25A/30 FIRST FLOOR LEADER ROAD ALLAHABAD Uttar Pradesh INDIA 211003","Indian Non-Government Company"
"L11102UP1963PLC002971","21-11-1963","INDIAN AIR GASES LIMITED","ACTIVE","Public","Company Limited by Shares","10,000,000.00","5,097,700.00","Uttar Pradesh","RoC-Kanpur","Mining & Quarrying","G. T. ROAD MUGHALSARAI MUGHALSARAI Uttar Pradesh INDIA 232101","Indian Non-Government Company"
"L14101UP1977PLC021546","18-05-1977","ORIENT BELL LIMITED","ACTIVE","Public","Company Limited by Shares","550,000,000.00","138,155,510.00","Uttar Pradesh","RoC-Kanpur","Mining & Quarrying","8, INDUSTRIAL AREA,SIKANDRABAD -203 205. DISTT.- BULANDSHAHR (U.P.) Uttar Pradesh INDIA","Indian Non-Government Company"
"L14106UP1995PLC019017","15-11-1995","JAIPRAKASH ASSOCIATES LIMITED","ACTIVE","Public","Company Limited by Shares","25,600,000,000.00","4,864,913,950.00","Uttar Pradesh","RoC-Kanpur","Mining & Quarrying","SECTOR 128, NOIDA UP Uttar Pradesh INDIA 201304","Indian Non-Government Company"
"L15111UP1982PLC005660","21-05-1982","DARSHAN OILS LIMITED","DORMANT","Public","Company Limited by Shares","50,000,000.00","40,563,000.00","Uttar Pradesh","RoC-Kanpur","Manufacturing (Food stuffs)","UDAI SINGH JAIN ROADALIGARH ALIGARH UTTAR PRADESH Uttar Pradesh INDIA 202001","Indian Non-Government Company"
"L15111UP1992PLC014942","2-12-1992","UMANG DAIRIES LIMITED","ACTIVE","Public","Company Limited by Shares","210,000,000.00","145,916,000.00","Uttar Pradesh","RoC-Kanpur","Manufacturing (Food stuffs)","GAJRAULA HASANPUR ROAD GAJRAULA Uttar Pradesh INDIA 244235","Indian Non-Government Company"
"L15113UP1946PLC001400","12-01-1946","COMMERCIAL MOTORS LIMTED","ACTIVE","Public","Company Limited by Shares","2,400,000.00","2,000,000.00","Uttar Pradesh","RoC-Kanpur","Manufacturing (Food stuffs)","11 M G ROAD LUCKNOW UTTAR PRADESH Uttar Pradesh INDIA 226001","Indian Non-Government Company"
"L15136UP1988PLC010084","27-09-1988","RAMPUR FERTILIZERS LIMITED","ACTIVE","Public","Company Limited by Shares","50,000,000.00","36,713,620.00","Uttar Pradesh","RoC-Kanpur","Manufacturing (Food stuffs)","JUDGESBAREILLY ROAD RAMPUR UTTAR PRADESH Uttar Pradesh INDIA 244901","Indian Non-Government Company"
"L15140UP1989PLC011396","17-11-1989","JVL AGRO INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","225,500,000.00","167,940,000.00","Uttar Pradesh","RoC-Kanpur","Manufacturing (Food stuffs)","JHUNJHUNWALABHAWAN NATI IMLI VRANASI UTTAR PRADESH Uttar Pradesh INDIA 221001","Indian Non-Government Company"
