"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L15133UR1990PLC023970","5-02-1990","FLEX FOODS LIMITED","ACTIVE","Public","Company Limited by Shares","200,000,000.00","124,444,840.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Food stuffs)","LAL TAPPAR INDUSTRIAL AREA,PO-RASHIEM MAGRI HARIDWAR ROAD,DEHRADUN, UTTRANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"L21012UR1986PLC008002","1-07-1986","JALPAC INDIA LIMITED","ACTIVE","Public","Company Limited by Shares","200,000,000.00","149,400,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","VILLAGE-TULARAMPURPOST-HALDU TEHSIL-HALDWANI DISTRICT-NAINITAL UTTARANCHAL Uttarakhand INDIA 262402","Indian Non-Government Company"
"L24111UR1983PLC009097","19-11-1983","INDIA GLYCOLS LIMITED","ACTIVE","Public","Company Limited by Shares","450,000,000.00","309,615,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","A-1,INDUSTRIAL AREA,BAZPUR ROAD, KASHIPUR, UDHAM SINGH NAGAR Uttarakhand INDIA 244713","Indian Non-Government Company"
"L24111UR1985PLC015063","4-02-1985","ESTER INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","1,659,600,000.00","313,218,795.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","SOHan NAGAR,P.O.CHARUBETA,KHATIMA DISTT.UDHAM SINGH NAGAR Uttarakhand INDIA 262308","Indian Non-Government Company"
"L24111UR1986PLC008252","8-10-1986","SOLARSON INDUSTRIES LIMITED","DORMANT","Public","Company Limited by Shares","35,000,000.00",NA,"Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","C1-C3, D-29-D32, UPSIDC, INDUSTRIAL AREA BHIMTAL, NAINITAL NAINITAL Uttarakhand INDIA","Indian Non-Government Company"
"L24111UR1986PLC015895","12-08-1986","MESCO PHARMACEUTICALS LIMITED","ACTIVE","Public","Company Limited by Shares","300,000,000.00","197,381,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","MOHABEWALAN INDUSTRIES AREA STATE BANK ROAD DEHRADUN UTTARANCHAL Uttarakhand INDIA 248001","Indian Non-Government Company"
"L24237UR1979PLC005041","16-03-1979","SHIVALIK RASAYAN LIMITED","ACTIVE","Public","Company Limited by Shares","35,000,000.00","34,200,000.00","Uttarakhand","RoC-Uttarakhand",NA,"VILLAGE KOLHUPANI, POST OFFICE CHANDANWARI, VIA PREM NAGAR, DEHRADUN Uttarakhand INDIA 248007","Indian Non-Government Company"
"L25209UR1984PLC011596","18-10-1984","POLYPLEX CORPORATION LIMITED","ACTIVE","Public","Company Limited by Shares","340,000,000.00","319,846,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","LOHIA HEAD ROAD KHATIMA DISTT. UDHAM SINGH NAGARL UTTRANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"L27101UR1984PLC006899","15-12-1984","RMI STEELS LIMITED","ACTIVE","Public","Company Limited by Shares","75,000,000.00","45,197,500.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","A 1 MUNNI KI RETIINDUSTRIAL AREA DHALWALA RISHIKESH UTTRANCHAL Uttarakhand INDIA 249201","Indian Non-Government Company"
"L31909UR1988PLC010004","6-09-1988","NAINA SEMI CONDUCTOR LIMITED","ACTIVE","Public","Company Limited by Shares","100,000,000.00","30,000,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Machinery & Equipments)","VILLAGE PADAMPUR DEVLIAP O MOTA HALDU HALDWANI NAINITAL UTTARANCHAL Uttarakhand INDIA 263139","Indian Non-Government Company"
